OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
7228,MAVERIK COUNTRY STORE #638,"I-40, EXIT 159D & I-25/US-85, EXIT 227",Albuquerque,NM,580,3.20733333,,,2025-01-27T22:26:55.710284,FAILED
7229,TA GALLUP TRAVEL CENTER,"I-40, EXIT 16 & HWY 66",Gallup,NM,580,3.43233333,,,2025-01-27T22:26:56.185283,FAILED
7234,TA BLOOMSBURY TRAVEL CENTER,"I-78/US-22, EXIT 7 & SR-173",Bloomsbury,NJ,115,3.79066666,,,2025-01-27T22:26:57.836903,FAILED
7237,TA COLUMBIA TRAVEL CENTER,"I-80, EXIT 4 & SR-94",Columbia,NJ,115,4.099,,,2025-01-27T22:26:58.311366,FAILED
7239,TA PAULSBORO TRAVELCENTER,"I-295, EXIT 18A",Paulsboro,NJ,150,3.999,,,2025-01-27T22:26:58.783649,FAILED
7240,Pilot Travel Centers #190,"I-78, EXIT 12 & US-22",Hampton                                 ,NJ,105,3.809,,,2025-01-27T22:26:59.265068,FAILED
7244,TA LAS VEGAS TRAVEL CENTER,"I-15, EXIT 33",Las Vegas,NV,910,3.73566666,,,2025-01-27T22:26:59.744069,FAILED
7248,WILD WILD WEST TRAVEL PLAZA,"I-15, EXIT 37",Las Vegas,NV,910,3.76733333,,,2025-01-27T22:27:00.229809,FAILED
7263,FLYING J #904,"I-80, EXIT 107",Big Springs,NE,475,3.48233333,,,2025-01-27T22:27:00.724041,FAILED
7264,TA GRAND ISLAND WEST TRAVEL CENTER,"I-80, EXIT 305",Alda,NE,330,3.169,,,2025-01-27T22:27:01.213759,FAILED
7265,Fast Stop Travel Centers #1151,"I-80, EXIT 164 & CR-56C",Hershey,NE,475,3.499,,,2025-01-27T22:27:01.677125,FAILED
7267,TA OGALLALA TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,,,2025-01-27T22:27:02.153314,FAILED
7268,SAPP BROS TRAVEL CENTER,"I-80, EXIT 440 & SR-50, EXIT 440",Omaha,NE,486,3.28066666,,,2025-01-27T22:27:02.629016,FAILED
7269,GRAND ISLAND TRAVEL CENTER,"I-80, EXIT 312 & US-281/US-34",Grand Island,NE,330,3.26566666,,,2025-01-27T22:27:03.114186,FAILED
7282,ALLTOWN FRESH,"I-87, EXIT 17N & US-9",Fort Edward,NY,12,3.759,,,2025-01-27T22:27:03.572632,FAILED
7284,MURALTS TRUCK PLAZA,"I-90, EXIT 96 & US-93/SR-200",Missoula,MT,820,3.609,,,2025-01-27T22:27:04.053084,FAILED
7285,SENECA ONE STOP,"SR-17, EXIT 20",Salamanca                               ,NY,38,3.309,,,2025-01-27T22:27:04.527604,FAILED
7286,TA MISSOULA,"I-90, EXIT 96 & US-93",Missoula,MT,820,3.699,,,2025-01-27T22:27:05.004407,FAILED
7288,TA LAUREL,"I-90, EXIT 437",Laurel,MT,780,3.61233333,,,2025-01-27T22:27:05.501744,FAILED
