OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,36.56127,-95.2178,2025-01-27T22:16:49.279351,SUCCESS
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,43.96018,-90.38197,2025-01-27T22:16:49.889734,SUCCESS
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,32.94708,-112.71765,2025-01-27T22:16:50.493267,SUCCESS
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.31747,-94.39641,2025-01-27T22:16:51.120264,SUCCESS
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,40.89008,-75.06423,2025-01-27T22:16:51.659267,SUCCESS
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,38.76086,-78.6314,2025-01-27T22:16:52.264266,SUCCESS
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,30.8045,-97.61614,2025-01-27T22:16:52.838831,SUCCESS
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,32.40085,-85.95017,2025-01-27T22:16:53.426830,SUCCESS
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,38.88271,-85.81888,2025-01-27T22:16:54.014832,SUCCESS
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.72566666,41.23208,-95.84905,2025-01-27T22:16:54.577106,SUCCESS
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,46.80832,-100.2894,2025-01-27T22:16:55.127265,SUCCESS
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,38.48869,-107.73586,2025-01-27T22:16:55.699268,SUCCESS
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,38.55069,-75.55621,2025-01-27T22:16:56.285264,SUCCESS
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,39.68437,-75.5873,2025-01-27T22:16:56.897695,SUCCESS
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,27.53017,-82.50806,2025-01-27T22:16:57.448092,SUCCESS
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,39.76437,-105.59305,2025-01-27T22:16:58.037092,SUCCESS
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,135,3.499,33.55405,-82.89364,2025-01-27T22:16:58.645094,SUCCESS
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,43.35074,-83.86439,2025-01-27T22:16:59.258843,SUCCESS
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,35.35359,-109.05351,2025-01-27T22:16:59.822846,SUCCESS
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,32.75242,-111.55555,2025-01-27T22:17:00.395845,SUCCESS
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,37.87515,-87.56775,2025-01-27T22:17:00.970846,SUCCESS
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,39.11663,-88.56968,2025-01-27T22:17:01.562820,SUCCESS
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,41.40775,-90.01129,2025-01-27T22:17:02.135821,SUCCESS
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,40.10836,-85.56871,2025-01-27T22:17:02.755822,SUCCESS
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,41.02852,-85.25234,2025-01-27T22:17:03.335818,SUCCESS
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,40.91817,-100.16658,2025-01-27T22:17:03.905476,SUCCESS
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,30.33508,-81.40033,2025-01-27T22:17:04.491480,SUCCESS
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,30.4563,-90.95177,2025-01-27T22:17:05.072480,SUCCESS
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,41.58309,-87.23991,2025-01-27T22:17:05.671561,SUCCESS
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,41.31716,-87.20013,2025-01-27T22:17:06.258203,SUCCESS
174,Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,618,2.859,31.60012,-94.68579,2025-01-27T22:17:06.829513,SUCCESS
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,41.23208,-95.84905,2025-01-27T22:17:07.388514,SUCCESS
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,44.27411,-104.97288,2025-01-27T22:17:07.969516,SUCCESS
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,42.74543,-93.39991,2025-01-27T22:17:08.540345,SUCCESS
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,43.13373,-93.3573,2025-01-27T22:17:09.121349,SUCCESS
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,41.4929,-94.32239,2025-01-27T22:17:09.664353,SUCCESS
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,35.16844,-90.18697,2025-01-27T22:17:10.294215,SUCCESS
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,40.53983,-103.22464,2025-01-27T22:17:10.860855,SUCCESS
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,38.87599,-97.61695,2025-01-27T22:17:11.416514,SUCCESS
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,41.43336,-73.91578,2025-01-27T22:17:11.993429,SUCCESS
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,39.00453,-83.78279,2025-01-27T22:17:12.549206,SUCCESS
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,30.45402,-88.84646,2025-01-27T22:17:13.121022,SUCCESS
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,38.87599,-97.61695,2025-01-27T22:17:13.619430,SUCCESS
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,37.33778,-84.30613,2025-01-27T22:17:14.219429,SUCCESS
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,29.2632,-82.19163,2025-01-27T22:17:14.764944,SUCCESS
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,30.45176,-91.21056,2025-01-27T22:17:15.357299,SUCCESS
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,41.14487,-87.45437,2025-01-27T22:17:15.963990,SUCCESS
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,30.24119,-92.17626,2025-01-27T22:17:16.546986,SUCCESS
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,30.11265,-89.89079,2025-01-27T22:17:17.120592,SUCCESS
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,38.91319,-99.35734,2025-01-27T22:17:17.710338,SUCCESS
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,35.1391,-90.09937,2025-01-27T22:17:18.326100,SUCCESS
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,39.69825,-79.16261,2025-01-27T22:17:18.942114,SUCCESS
257,PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,815,3.63566666,47.50804,-111.25361,2025-01-27T22:17:19.560096,SUCCESS
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,41.92639,-86.5702,2025-01-27T22:17:20.157091,SUCCESS
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,37.7497,-99.97907,2025-01-27T22:17:20.743089,SUCCESS
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,41.92289,-83.36092,2025-01-27T22:17:21.313495,SUCCESS
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.97014,-87.40654,2025-01-27T22:17:21.885493,SUCCESS
